UnitID,Institution Name,City,State,Sector,Open admission policy (ICN0YY),Graduate offering (HDN0YY),UG Enrollment Grand total (EF2011A  All students  Undergraduate total),UG Enrollment Hispanic total (EF2011A  All students  Undergraduate total),% Hispanic,Assoc Grand total (C2012_A  First major  Grand total  Associate's degree),Assoc Hispanic or Latino total (C2012_A  First major  Grand total  Associate's degree),% Hispanic,Bach Grand total (C2012_A  First major  Grand total  Bachelor's degree),Bach Hispanic or Latino total (C2012_A  First major  Grand total  Bachelor's degree),% Hispanic,Masters Grand total (C2012_A  First major  Grand total  Master's degree),Masters Hispanic or Latino total (C2012_A  First major  Grand total  Master's degree),% Hispanic,Doctorate Grand Total,Doctorate Hispanic Grand Total,% Hispanic,Masters + Doctorates Grand Total,Masters + Doctorate Hispanic Grand Total,% Hispanic,Grand total (C2012_A  First major  Grand total  Doctor's degree - research/scholarship (new degree classification)),Grand total (C2012_A  First major  Grand total  Doctor's degree - professional practice (new degree classification)),Grand total (C2012_A  First major  Grand total  Doctor's degree - other (new degree classification)),Hispanic or Latino total (C2012_A  First major  Grand total  Doctor's degree - research/scholarship (new degree classification)),Hispanic or Latino total (C2012_A  First major  Grand total  Doctor's degree - professional practice (new degree classification)),Hispanic or Latino total (C2012_A  First major  Grand total  Doctor's degree - other (new degree classification)),American Indian or Alaska Native total (EF2011A  All students  Undergraduate total),Asian total (EF2011A  All students  Undergraduate total),Black or African American total (EF2011A  All students  Undergraduate total),Native Hawaiian or Other Pacific Islander total (EF2011A  All students  Undergraduate total),White total (EF2011A  All students  Undergraduate total),Two or more races total (EF2011A  All students  Undergraduate total),Race/ethnicity unknown total (EF2011A  All students  Undergraduate total),Nonresident alien total (EF2011A  All students  Undergraduate total),GR Enrollment Grand total (EF2011A  All students  Graduate),GR Enrollment Hispanic total (EF2011A  All students  Graduate),% Hispanic,American Indian or Alaska Native total (EF2011A  All students  Graduate),Asian total (EF2011A  All students  Graduate),Black or African American total (EF2011A  All students  Graduate),Native Hawaiian or Other Pacific Islander total (EF2011A  All students  Graduate),White total (EF2011A  All students  Graduate),Two or more races total (EF2011A  All students  Graduate),Race/ethnicity unknown total (EF2011A  All students  Graduate),Nonresident alien total (EF2011A  All students  Graduate),Grand total (EF2011A  Full-time students  Undergraduate total),American Indian or Alaska Native total (EF2011A  Full-time students  Undergraduate total),Asian total (EF2011A  Full-time students  Undergraduate total),Black or African American total (EF2011A  Full-time students  Undergraduate total),Hispanic total (EF2011A  Full-time students  Undergraduate total),Native Hawaiian or Other Pacific Islander total (EF2011A  Full-time students  Undergraduate total),White total (EF2011A  Full-time students  Undergraduate total),Two or more races total (EF2011A  Full-time students  Undergraduate total),Race/ethnicity unknown total (EF2011A  Full-time students  Undergraduate total),Nonresident alien total (EF2011A  Full-time students  Undergraduate total),Grand total (EF2011A  Full-time students  Graduate),American Indian or Alaska Native total (EF2011A  Full-time students  Graduate),Asian total (EF2011A  Full-time students  Graduate),Black or African American total (EF2011A  Full-time students  Graduate),Hispanic total (EF2011A  Full-time students  Graduate),Native Hawaiian or Other Pacific Islander total (EF2011A  Full-time students  Graduate),White total (EF2011A  Full-time students  Graduate),Two or more races total (EF2011A  Full-time students  Graduate),Race/ethnicity unknown total (EF2011A  Full-time students  Graduate),Nonresident alien total (EF2011A  Full-time students  Graduate),Grand total (EF2011A  Part-time students  Undergraduate total),American Indian or Alaska Native total (EF2011A  Part-time students  Undergraduate total),Asian total (EF2011A  Part-time students  Undergraduate total),Black or African American total (EF2011A  Part-time students  Undergraduate total),Hispanic total (EF2011A  Part-time students  Undergraduate total),Native Hawaiian or Other Pacific Islander total (EF2011A  Part-time students  Undergraduate total),White total (EF2011A  Part-time students  Undergraduate total),Two or more races total (EF2011A  Part-time students  Undergraduate total),Race/ethnicity unknown total (EF2011A  Part-time students  Undergraduate total),Nonresident alien total (EF2011A  Part-time students  Undergraduate total),Grand total (EF2011A  Part-time students  Graduate),American Indian or Alaska Native total (EF2011A  Part-time students  Graduate),Asian total (EF2011A  Part-time students  Graduate),Black or African American total (EF2011A  Part-time students  Graduate),Hispanic total (EF2011A  Part-time students  Graduate),Native Hawaiian or Other Pacific Islander total (EF2011A  Part-time students  Graduate),White total (EF2011A  Part-time students  Graduate),Two or more races total (EF2011A  Part-time students  Graduate),Race/ethnicity unknown total (EF2011A  Part-time students  Graduate),Nonresident alien total (EF2011A  Part-time students  Graduate),Completions Grand total (C2012_B),Hispanic or Latino total (C2012_B),American Indian or Alaska Native total (C2012_B),Asian total (C2012_B),Black or African American total (C2012_B),Native Hawaiian or Other Pacific Islander total (C2012_B),White total (C2012_B),Two or more races total (C2012_B),Race/ethnicity unknown total (C2012_B),Nonresident alien total (C2012_B),Grand total (C2012_C  Associate's degree),Hispanic or Latino total (C2012_C  Associate's degree),Grand total (C2012_C  Bachelor's degree),Hispanic or Latino total (C2012_C  Bachelor's degree),Grand total (C2012_C  Master's degree),Hispanic or Latino total (C2012_C  Master's degree),Grand total (C2012_C  Doctor's degree),Hispanic or Latino total (C2012_C  Doctor's degree)
157289,University of Louisville,Louisville,KY,4 Pub,N,Y,15596,489,3.1%,11,2,18.2%,2702,89,3.3%,1377,25,1.8%,546,13,2.4%,1923,38,2.0%,185,361,,4,9,,22,457,1859,11,12067,408,40,243,5556,129,2.3%,13,202,436,6,4225,74,38,433,12177,14,347,1400,375,10,9468,324,23,216,3867,10,158,276,86,3,2873,48,28,385,3419,8,110,459,114,1,2599,84,17,27,1689,3,44,160,43,3,1352,26,10,48,4683,127,12,137,427,2,3729,58,13,178,11,2,2702,89,1377,25,546,13
157085,University of Kentucky,Lexington,KY,4 Pub,N,Y,20099,453,2.3%,,,,3735,50,1.3%,1231,14,1.1%,888,18,2.0%,2119,32,1.5%,322,566,,8,10,,39,478,1497,9,16297,286,628,412,7127,134,1.9%,10,191,350,0,5184,54,339,865,18454,37,424,1377,408,9,14994,270,533,402,5815,7,160,289,114,0,4093,43,274,835,1645,2,54,120,45,0,1303,16,95,10,1312,3,31,61,20,0,1091,11,65,30,5807,80,10,122,293,0,4764,28,244,266,,,3623,47,1231,14,888,18
157951,Western Kentucky University,Bowling Green,KY,4 Pub,N,Y,17970,327,1.8%,271,6,2.2%,2652,42,1.6%,973,11,1.1%,20,1,5.0%,993,12,1.2%,,,20,,,1,47,174,1944,15,14593,262,196,412,3066,45,1.5%,10,27,235,1,2413,31,33,271,13952,33,139,1654,245,11,11285,217,126,242,938,4,9,59,9,1,627,13,10,206,4018,14,35,290,82,4,3308,45,70,170,2128,6,18,176,36,0,1786,18,23,65,4015,60,12,48,255,0,3417,38,23,162,271,6,2652,42,973,11,20,1
156620,Eastern Kentucky University,Richmond,KY,4 Pub,N,Y,13902,236,1.7%,177,4,2.3%,2259,30,1.3%,734,10,1.4%,9,0,0.0%,743,10,1.3%,,9,,,0,,50,165,792,25,11878,273,335,148,2160,34,1.6%,2,27,115,0,1732,20,182,48,11288,37,120,674,196,22,9643,237,223,136,680,0,14,46,13,0,548,10,17,32,2614,13,45,118,40,3,2235,36,112,12,1480,2,13,69,21,0,1184,10,165,16,3158,44,6,25,128,4,2782,60,33,76,177,4,2235,30,734,10,9,0
157447,Northern Kentucky University,Highland Heights,KY,4 Pub,N,Y,12993,227,1.7%,118,0,0.0%,1980,19,1.0%,493,6,1.2%,168,2,1.2%,661,8,1.2%,14,154,,0,2,,33,105,812,7,10861,142,471,335,2731,34,1.2%,6,50,131,4,2304,15,144,43,9870,27,83,657,179,7,8189,116,311,301,829,4,20,44,9,1,679,2,40,30,3123,6,22,155,48,0,2672,26,160,34,1902,2,30,87,25,3,1625,13,104,13,2740,28,6,34,133,0,2340,21,123,55,118,0,1937,19,492,6,168,2
156286,Bellarmine University,Louisville,KY,4 Priv NFP,N,Y,2640,85,3.2%,,,,538,17,3.2%,273,3,1.1%,49,2,4.1%,322,5,1.6%,,49,,,2,,4,58,103,5,2171,36,120,58,792,8,1.0%,2,13,45,0,631,2,90,1,2289,4,50,91,82,4,1876,36,90,56,305,0,7,11,7,0,252,2,25,1,351,0,8,12,3,1,295,0,30,2,487,2,6,34,1,0,379,0,65,0,876,23,2,24,37,1,705,4,71,9,,,538,17,273,3,49,2
157401,Murray State University,Murray,KY,4 Pub,N,Y,8664,129,1.5%,13,0,0.0%,1530,13,0.8%,732,8,1.1%,,,,732,8,1.1%,,,,,,,21,76,617,5,7182,87,200,347,1959,16,0.8%,3,18,141,2,1516,14,13,236,6863,18,44,524,107,5,5700,70,149,246,680,1,6,60,3,1,405,4,6,194,1801,3,32,93,22,0,1482,17,51,101,1279,2,12,81,13,1,1111,10,7,42,2272,20,5,24,147,0,1881,6,32,157,13,0,1526,12,731,8,,
156295,Berea College,Berea,KY,4 Priv NFP,N,N,1661,50,3.0%,,,,309,12,3.9%,,,,,,,,,,,,,,,,6,19,248,1,1082,89,46,120,,,,,,,,,,,,1619,6,19,246,50,1,1044,88,46,119,,,,,,,,,,,42,0,0,2,0,0,38,1,0,1,,,,,,,,,,,309,12,1,3,52,1,195,13,1,31,,,309,12,,,,
156408,Centre College,Danville,KY,4 Priv NFP,N,N,1309,33,2.5%,,,,288,9,3.1%,,,,,,,,,,,,,,,,0,30,56,0,1131,25,1,33,,,,,,,,,,,,1309,0,30,56,33,0,1131,25,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,9,0,4,13,0,255,0,0,7,,,288,9,,,,
156213,Asbury University,Wilmore,KY,4 Priv NFP,N,Y,1452,37,2.5%,0,0,,240,7,2.9%,50,1,2.0%,,,,50,1,2.0%,,,,,,,5,10,38,1,1279,31,34,17,186,6,3.2%,1,2,12,1,158,0,2,4,1321,5,9,38,33,1,1161,27,30,17,67,1,1,7,0,1,51,0,2,4,131,0,1,0,4,0,118,4,4,0,119,0,1,5,6,0,107,0,0,0,290,8,0,3,7,0,265,0,2,5,,,240,7,50,1,,
156541,University of the Cumberlands,Williamsburg,KY,4 Priv NFP,N,Y,1726,47,2.7%,,,,241,7,2.9%,730,7,1.0%,11,0,0.0%,741,7,0.9%,11,,,0,,,4,12,106,2,1461,2,17,75,2021,10,0.5%,5,5,71,0,1733,0,194,3,1385,3,6,100,42,1,1157,2,4,70,586,2,0,25,5,0,487,0,65,2,341,1,6,6,5,1,304,0,13,5,1435,3,5,46,5,0,1246,0,129,1,982,14,1,6,37,0,877,2,34,11,,,241,7,730,7,11,0
157386,Morehead State University,Morehead,KY,4 Pub,N,Y,9417,84,0.9%,163,1,0.6%,1115,6,0.5%,453,2,0.4%,,,,453,2,0.4%,,,,,,,23,39,303,2,8658,50,203,55,1551,21,1.4%,4,12,57,0,1386,14,42,15,5553,10,21,232,51,1,5028,31,125,54,316,1,3,10,7,0,273,4,4,14,3864,13,18,71,33,1,3630,19,78,1,1235,3,9,47,14,0,1113,10,38,1,1734,9,4,13,55,0,1600,6,30,17,163,1,1115,6,453,2,,
157757,Spalding University,Louisville,KY,4 Priv NFP,N,Y,1371,40,2.9%,1,0,0.0%,220,5,2.3%,321,7,2.2%,32,0,0.0%,353,7,2.0%,32,,,0,,,5,16,385,1,775,44,100,5,1061,16,1.5%,1,13,183,1,712,19,105,11,983,5,12,273,31,1,587,33,37,4,765,1,11,128,13,1,518,13,73,7,388,0,4,112,9,0,188,11,63,1,296,0,2,55,3,0,194,6,32,4,574,11,2,7,114,0,377,16,43,4,1,0,217,4,321,7,32,0
156356,Brescia University,Owensboro,KY,4 Priv NFP,N,Y,726,23,3.2%,8,0,0.0%,93,5,5.4%,19,0,0.0%,,,,19,0,0.0%,,,,,,,2,1,80,0,533,0,74,13,22,0,,0,1,1,0,19,0,1,0,546,1,1,50,16,0,425,0,40,13,3,0,0,0,0,0,3,0,0,0,180,1,0,30,7,0,108,0,34,0,19,0,1,1,0,0,16,0,1,0,123,5,1,1,4,0,102,0,9,1,8,0,93,5,19,0,,
157359,Mid-Continent University,Mayfield,KY,4 Priv NFP,N,Y,2369,41,1.7%,268,4,1.5%,373,4,1.1%,31,1,3.2%,,,,31,1,3.2%,,,,,,,7,6,347,1,1869,19,59,20,103,2,1.9%,0,1,16,0,84,0,0,0,1967,5,6,273,38,1,1560,15,50,19,97,0,1,14,2,0,80,0,0,0,402,2,0,74,3,0,309,4,9,1,6,0,0,2,0,0,4,0,0,0,672,9,0,2,87,0,553,2,13,6,268,4,373,4,31,1,,
156365,Campbellsville University,Campbellsville,KY,4 Priv NFP,N,Y,3061,35,1.1%,62,0,0.0%,325,4,1.2%,244,1,0.4%,,,,244,1,0.4%,,,,,,,3,12,309,2,2412,15,129,144,557,12,2.2%,0,2,64,0,420,1,12,46,1869,2,3,234,24,1,1393,14,62,136,39,0,0,0,8,0,21,1,1,8,1192,1,9,75,11,1,1019,1,67,8,518,0,2,64,4,0,399,0,11,38,630,5,0,3,57,0,483,2,21,59,62,0,325,4,244,1,,
156745,Georgetown College,Georgetown,KY,4 Priv NFP,N,Y,1273,26,2.0%,,,,219,4,1.8%,206,0,0.0%,,,,206,0,0.0%,,,,,,,3,7,110,0,1092,7,8,20,545,5,0.9%,0,1,20,0,518,0,1,0,1225,2,6,109,25,0,1054,7,6,16,28,0,0,1,0,0,27,0,0,0,48,1,1,1,1,0,38,0,2,4,517,0,1,19,5,0,491,0,1,0,425,4,0,0,31,0,389,0,0,1,,,219,4,206,0,,
157599,Brown Mackie College-Louisville,Louisville,KY,4 Priv FP,Y,N,1968,28,1.4%,508,25,4.9%,19,3,15.8%,,,,,,,,,,,,,,,,8,13,924,3,940,17,35,0,,,,,,,,,,,,1968,8,13,924,28,3,940,17,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571,28,3,5,242,1,280,3,9,0,508,25,19,3,,,,
413857,ITT Technical Institute-Louisville,Louisville,KY,4 Priv FP,N,N,856,20,2.3%,225,3,1.3%,40,3,7.5%,,,,,,,,,,,,,,,,5,9,159,0,637,11,15,0,,,,,,,,,,,,578,2,4,112,13,0,426,10,11,0,,,,,,,,,,,278,3,5,47,7,0,211,1,4,0,,,,,,,,,,,265,6,1,2,29,0,172,0,55,0,225,3,40,3,,,,
157818,Transylvania University,Lexington,KY,4 Priv NFP,N,N,1023,14,1.4%,,,,248,3,1.2%,,,,,,,,,,,,,,,,2,11,38,0,887,18,44,9,,,,,,,,,,,,1005,2,10,37,14,0,872,18,43,9,,,,,,,,,,,18,0,1,1,0,0,15,0,1,0,,,,,,,,,,,248,3,1,1,9,0,217,3,14,0,,,248,3,,,,
157021,National College-Lexington,Lexington,KY,4 Priv FP,Y,N,1856,49,2.6%,566,15,2.7%,39,2,5.1%,,,,,,,,,,,,,,,,1,4,670,1,983,25,122,1,,,,,,,,,,,,1066,0,4,371,33,1,572,13,71,1,,,,,,,,,,,790,1,0,299,16,0,411,12,51,0,,,,,,,,,,,778,20,0,2,248,0,430,16,62,0,565,15,39,2,,,,
157632,Saint Catharine College,Saint Catharine,KY,4 Priv NFP,Y,Y,1090,19,1.7%,93,1,1.1%,74,2,2.7%,0,0,,,,,0,0,,,,,,,,0,7,75,0,946,19,19,5,1,0,,0,0,1,0,0,0,0,0,668,0,4,60,15,0,558,12,14,5,,,,,,,,,,,422,0,3,15,4,0,388,7,5,0,1,0,0,1,0,0,0,0,0,0,154,3,0,2,13,0,133,2,1,0,84,1,74,2,,,,
157076,Kentucky Wesleyan College,Owensboro,KY,4 Priv NFP,N,N,741,11,1.5%,,,,139,2,1.4%,,,,,,,,,,,,,,,,4,2,74,0,544,0,98,8,,,,,,,,,,,,704,4,2,72,11,0,518,0,89,8,,,,,,,,,,,37,0,0,2,0,0,26,0,9,0,,,,,,,,,,,139,2,0,0,8,0,111,0,17,1,,,139,2,,,,
448488,ITT Technical Institute-Lexington,Lexington,KY,4 Priv FP,N,N,379,11,2.9%,140,4,2.9%,20,1,5.0%,,,,,,,,,,,,,,,,5,2,72,0,281,1,7,0,,,,,,,,,,,,278,3,2,47,5,0,216,0,5,0,,,,,,,,,,,101,2,0,25,6,0,65,1,2,0,,,,,,,,,,,160,5,0,1,10,0,91,0,53,0,140,4,20,1,,,,
247065,Beckfield College-Florence,Florence,KY,4 Priv FP,Y,N,977,16,1.6%,243,2,0.8%,33,1,3.0%,,,,,,,,,,,,,,,,5,7,72,2,859,2,14,0,,,,,,,,,,,,592,4,4,46,11,2,515,2,8,0,,,,,,,,,,,385,1,3,26,5,0,344,0,6,0,,,,,,,,,,,326,4,2,1,18,0,297,0,4,0,243,2,33,1,,,,
